column_name,mapping
agency_cd,agency
site_no,agency_id
station_nm,unique_site_name
site_tp_cd,
lat_va,
long_va,
dec_lat_va,exact_lat
dec_long_va,exact_lng
coord_meth_cd,
coord_acy_cd,
coord_datum_cd,
dec_coord_datum_cd,
district_cd,
state_cd,
county_cd,county_number
country_cd,
land_net_ds,
map_nm,
map_scale_fc,
alt_va,
alt_meth_cd,
alt_acy_va,
alt_datum_cd,
huc_cd,
basin_cd,
topo_cd,
data_types_cd,
instruments_cd,
construction_dt,
inventory_dt,
drain_area_va,
contrib_drain_area_va,
tz_cd,
local_time_fg,
reliability_cd,
gw_file_cd,
nat_aqfr_cd,
aqfr_cd,
aqfr_type_cd,
well_depth_va,
hole_depth_va,
depth_src_cd,
project_no,
rt_bol,
peak_begin_date,
peak_end_date,
peak_count_nu,
qw_begin_date,
qw_end_date,
qw_count_nu,
gw_begin_date,
gw_end_date,
gw_count_nu,
sv_begin_date,
sv_end_date,
sv_count_nu,
