Info: RTI Database Updater initiated on 1/29/2017 @7:44 PM


Info: Next Scheduled Run at 01/29/2017 07:44:44 PM (01/30/2017 12:44:44 UTC)
Info: Performing Sources List DB update...
Info: Beginning download of all USGS water sources list.
Info: Download completed successfully.
Info: Retrieving GeoCode data for source USGS-01015010, ST. JOHN RIVER NEAR HAMLIN, MAINE
Info: Retrieving GeoCode data for source USGS-01017960, Meduxnekeag R above S Br Medux. R nr Houlton, ME
Info: Retrieving GeoCode data for source USGS-01018000, Meduxnekeag River near Houlton, Maine
Info: Retrieving GeoCode data for source USGS-01021200, Dennys River at Dennysville, Maine
Info: Retrieving GeoCode data for source USGS-01049265, Kennebec River at North Sidney, Maine
Info: Retrieving GeoCode data for source USGS-01056000, GULF ISLAND POND NEAR LEWISTON, ME
Info: Retrieving GeoCode data for source USGS-01059010, ANDROSCOGGIN RIVER BL DRESSERS RIPS NR AUBURN, ME
Info: Retrieving GeoCode data for source USGS-01064140, PRESUMPSCOT RIVER NEAR WEST FALMOUTH, ME
Info: Extracting source names...
Info: USGS-01015010, source name: St. John River, source type: river
Info: USGS-01017960, source name: Meduxnekeag River, source type: river
Info: USGS-01018000, source name: Meduxnekeag River, source type: river
Info: USGS-01021200, source name: Dennys River, source type: river
Info: USGS-01049265, source name: Kennebec River, source type: river
Info: USGS-01056000, source name: Gulf Island Pond, source type: pond
Info: USGS-01059010, source name: Androscoggin River, source type: river
Info: USGS-01064140, source name: Presumpscot River, source type: river
